1583615969.8007033
1583615973.375078222.92, 0.50, 116.55
1583615973.396653424.91, 2.42, 116.55
1583615973.418516225.47, 8.11, 114.83
1583615973.441458223.58, 17.91, 111.44
1583615973.464257220.71, 33.16, 104.27
1583615973.486116619.47, 48.46, 95.83
1583615973.508081220.61, 64.13, 87.03
1583615973.52991623.55, 76.84, 77.46
1583615973.551746427.29, 84.87, 64.71
1583615973.573608630.42, 88.82, 47.23
1583615973.59549832.39, 86.87, 22.78
1583615973.618420130.72, 82.76, 357.89
1583615973.641323626.19, 73.80, 333.42
1583615973.66424119.14, 59.45, 315.83
1583615973.68611126.96, 41.81, 303.00
1583615973.709081-9.12, 32.79, 297.43
1583615973.7330768-24.59, 28.12, 296.10
1583615973.7570064-31.80, 17.33, 298.23
1583615973.7799156-28.93, 2.80, 302.57
1583615973.8038187-20.63, -9.89, 302.70
1583615973.8277776-7.94, -21.24, 296.49
1583615973.850744.03, -28.38, 285.91
1583615973.874657916.09, -35.01, 271.23
1583615973.89859627.01, -44.38, 251.89
1583615973.922583333.42, -56.10, 227.32
1583615973.946524434.05, -66.86, 204.18
1583615973.970512632.01, -70.44, 184.07
1583615973.994430831.16, -62.85, 170.66
1583615974.018398831.15, -45.16, 159.58
1583615974.042362729.01, -35.09, 152.34
1583615974.066337825.09, -26.84, 146.36
1583615974.09028222.75, -22.27, 140.23
1583615974.11422723.72, -17.61, 134.37
1583615974.13816326.03, -14.46, 129.06
1583615974.162199730.49, -14.12, 124.67
1583615974.186130337.15, -17.90, 120.38
1583615974.210112345.00, -28.74, 113.10
1583615974.23404350.23, -44.39, 103.20
1583615974.25692254.16, -64.21, 88.95
1583615974.279913455.71, -84.75, 72.12
1583615974.303807554.26, -101.27, 56.09
1583615974.327749551.44, -108.92, 43.82
1583615974.351704448.53, -110.93, 35.76
1583615974.375667845.62, -112.42, 31.07
1583615974.399706443.59, -111.88, 28.86
1583615974.423598841.87, -111.33, 29.15
1583615974.447544340.51, -109.80, 31.03
1583615974.471490439.27, -107.97, 33.29
1583615974.495462438.18, -105.64, 35.49
1583615974.51943537.38, -102.67, 37.23
1583615974.543380336.56, -100.31, 38.83
1583615974.566268235.93, -97.78, 40.51
1583615974.589224835.28, -94.52, 43.23
1583615974.612204634.66, -89.91, 48.03
1583615974.635095633.84, -83.19, 58.18
1583615974.65797132.27, -74.44, 72.08
1583615974.680890627.99, -62.58, 91.12
1583615974.704830420.16, -55.26, 113.72
1583615974.7288212.46, -47.60, 141.41
1583615974.7517114.36, -41.33, 164.69
1583615974.7756748-6.32, -46.22, 180.16
1583615974.8006933-14.41, -55.81, 192.84
1583615974.8254712-17.19, -64.23, 207.12
1583615974.8509898-16.18, -64.93, 219.24
1583615974.8759713-16.28, -64.55, 223.54
1583615974.900968-17.00, -62.19, 223.41
1583615974.925944-16.86, -59.41, 223.30
1583615974.950955-16.71, -57.62, 223.16
1583615974.9759336-16.69, -57.38, 223.02
1583615975.000737-16.45, -56.30, 223.58
1583615975.0257275-16.78, -55.16, 224.36
1583615975.0506968-18.07, -55.86, 224.81
1583615975.0756757-20.08, -59.39, 224.28
1583615975.1009338-23.42, -65.79, 222.48
1583615975.1259518-29.84, -75.28, 219.30
1583615975.150937-41.79, -91.66, 216.24
1583615975.1769848-56.47, -119.51, 218.65
1583615975.2029843-68.33, -169.17, 239.20
1583615975.2279928-69.32, 127.96, 270.68
1583615975.2519867-68.49, 98.57, 276.93
1583615975.275702-70.70, 80.19, 281.91
1583615975.2999394-73.80, 58.32, 293.93
1583615975.3238492-76.20, 33.14, 316.25
1583615975.3467557-75.00, 9.88, 339.48
1583615975.370716-71.89, -2.36, 350.68
1583615975.3946807-69.05, -9.20, 358.61
1583615975.417598-67.37, -12.01, 4.11
1583615975.4405732-66.19, -11.68, 5.59
1583615975.463494-65.05, -10.62, 5.36
1583615975.4852955-64.22, -9.33, 5.16
1583615975.5071628-63.99, -8.40, 4.78
1583615975.5290253-63.83, -6.84, 3.99
1583615975.5508997-63.27, -4.30, 2.84
1583615975.5727599-62.33, -2.00, 1.07
1583615975.595686-60.91, 1.06, 358.79
1583615975.6183913-58.31, 6.86, 355.89
1583615975.6423762-54.30, 16.69, 352.54
1583615975.6664135-49.69, 30.23, 351.69
1583615975.6903453-47.28, 51.11, 354.80
1583615975.7121406-47.83, 81.17, 0.40
1583615975.7352967-50.21, 114.87, 4.52
1583615975.7582088-52.10, 148.65, 5.79
1583615975.7811196-53.20, 173.81, 5.83
1583615975.8051014-54.04, -167.15, 5.90
1583615975.829043-54.15, -151.64, 5.16
1583615975.8530207-52.79, -138.40, 4.98
1583615975.8769758-50.79, -132.47, 6.48
